so_simple--[2024-04-07 02:20:22.973874] , Network: grid_10, Trip Size: 1006, Average Time: 406.352, Increase factor: 1.06, Congestion T: 3, Maxspeed: 15.0, sim_time: 1856
so_simple--[2024-04-07 02:25:17.653098] , Network: grid_10, Trip Size: 1007, Average Time: 381.613, Increase factor: 1.06, Congestion T: 3, Maxspeed: 15.0, sim_time: 1813
so_simple--[2024-04-07 02:30:14.782578] , Network: grid_10, Trip Size: 1008, Average Time: 402.006, Increase factor: 1.06, Congestion T: 3, Maxspeed: 15.0, sim_time: 1787
so_simple--[2024-04-07 02:35:08.781547] , Network: grid_10, Trip Size: 1009, Average Time: 389.639, Increase factor: 1.06, Congestion T: 3, Maxspeed: 15.0, sim_time: 1781
so_simple--[2024-04-07 02:40:13.963994] , Network: grid_10, Trip Size: 1000, Average Time: 402.327, Increase factor: 1.065, Congestion T: 3, Maxspeed: 15.0, sim_time: 1855
so_simple--[2024-04-07 02:46:45.220193] , Network: grid_10, Trip Size: 1001, Average Time: 403.416, Increase factor: 1.065, Congestion T: 3, Maxspeed: 15.0, sim_time: 1773
so_simple--[2024-04-07 02:56:42.260461] , Network: grid_10, Trip Size: 1002, Average Time: 442.319, Increase factor: 1.065, Congestion T: 3, Maxspeed: 15.0, sim_time: 1882
so_simple--[2024-04-07 03:02:49.535246] , Network: grid_10, Trip Size: 1003, Average Time: 414.379, Increase factor: 1.065, Congestion T: 3, Maxspeed: 15.0, sim_time: 1766
so_simple--[2024-04-07 03:54:15.469462] , Network: grid_10, Trip Size: 1004, Average Time: 426.598, Increase factor: 1.065, Congestion T: 3, Maxspeed: 15.0, sim_time: 1856
so_simple--[2024-04-07 05:03:44.704041] , Network: grid_10, Trip Size: 1005, Average Time: 403.335, Increase factor: 1.065, Congestion T: 3, Maxspeed: 15.0, sim_time: 1766
so_simple--[2024-04-07 05:23:37.864304] , Network: grid_10, Trip Size: 1006, Average Time: 413.469, Increase factor: 1.065, Congestion T: 3, Maxspeed: 15.0, sim_time: 1913
so_simple--[2024-04-07 05:28:35.283724] , Network: grid_10, Trip Size: 1007, Average Time: 398.825, Increase factor: 1.065, Congestion T: 3, Maxspeed: 15.0, sim_time: 1917
so_simple--[2024-04-07 05:33:32.879081] , Network: grid_10, Trip Size: 1008, Average Time: 412.533, Increase factor: 1.065, Congestion T: 3, Maxspeed: 15.0, sim_time: 1884
so_simple--[2024-04-07 05:38:20.165923] , Network: grid_10, Trip Size: 1009, Average Time: 407.637, Increase factor: 1.065, Congestion T: 3, Maxspeed: 15.0, sim_time: 1811
so_simple--[2024-04-07 05:43:14.126609] , Network: grid_10, Trip Size: 1000, Average Time: 415.263, Increase factor: 1.07, Congestion T: 3, Maxspeed: 15.0, sim_time: 1857
so_simple--[2024-04-07 05:47:52.827943] , Network: grid_10, Trip Size: 1001, Average Time: 407.561, Increase factor: 1.07, Congestion T: 3, Maxspeed: 15.0, sim_time: 1732
so_simple--[2024-04-07 05:52:45.350931] , Network: grid_10, Trip Size: 1002, Average Time: 424.071, Increase factor: 1.07, Congestion T: 3, Maxspeed: 15.0, sim_time: 1812
so_simple--[2024-04-07 05:57:48.865453] , Network: grid_10, Trip Size: 1003, Average Time: 428.421, Increase factor: 1.07, Congestion T: 3, Maxspeed: 15.0, sim_time: 1908
so_simple--[2024-04-07 06:03:00.787082] , Network: grid_10, Trip Size: 1004, Average Time: 461.585, Increase factor: 1.07, Congestion T: 3, Maxspeed: 15.0, sim_time: 1901
