so_simple--[2024-03-27 16:29:58.552662] , Network: tree_23_tl, Trip Size: 500, Average Time: 351.728, Increase factor: 1.064, Congestion T: 3, Maxspeed: 5.0, sim_time: 1992
so_simple--[2024-03-27 16:30:36.985566] , Network: tree_23_tl, Trip Size: 500, Average Time: 337.172, Increase factor: 1.065, Congestion T: 3, Maxspeed: 5.0, sim_time: 1995
so_simple--[2024-03-27 16:31:15.636239] , Network: tree_23_tl, Trip Size: 500, Average Time: 339.876, Increase factor: 1.066, Congestion T: 3, Maxspeed: 5.0, sim_time: 2043
so_simple--[2024-03-27 16:31:53.277441] , Network: tree_23_tl, Trip Size: 500, Average Time: 338.292, Increase factor: 1.067, Congestion T: 3, Maxspeed: 5.0, sim_time: 1997
so_simple--[2024-03-27 16:32:29.228015] , Network: tree_23_tl, Trip Size: 500, Average Time: 320.234, Increase factor: 1.068, Congestion T: 3, Maxspeed: 5.0, sim_time: 1992
so_simple--[2024-03-27 16:33:05.883949] , Network: tree_23_tl, Trip Size: 500, Average Time: 329.134, Increase factor: 1.069, Congestion T: 3, Maxspeed: 5.0, sim_time: 1991
so_simple--[2024-03-27 16:33:42.891733] , Network: tree_23_tl, Trip Size: 500, Average Time: 345.422, Increase factor: 1.07, Congestion T: 3, Maxspeed: 5.0, sim_time: 2017
so_simple--[2024-03-27 16:34:19.595562] , Network: tree_23_tl, Trip Size: 500, Average Time: 338.548, Increase factor: 1.071, Congestion T: 3, Maxspeed: 5.0, sim_time: 1998
so_simple--[2024-03-27 16:34:55.968375] , Network: tree_23_tl, Trip Size: 500, Average Time: 333.606, Increase factor: 1.072, Congestion T: 3, Maxspeed: 5.0, sim_time: 2017
so_simple--[2024-03-27 16:35:34.687004] , Network: tree_23_tl, Trip Size: 500, Average Time: 337.388, Increase factor: 1.073, Congestion T: 3, Maxspeed: 5.0, sim_time: 2048
