

so_simple--[2024-04-10 05:23:57.140267] , Network: grid_10, Trip Size: 147, Average Time: 451.8801198801199, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1147
ue_simple--[2024-04-10 05:27:10.786264] , Network: grid_10, Trip Size: 147, Average Time: 483.1928071928072, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1136
so_simple--[2024-04-10 05:30:36.127654] , Network: grid_10, Trip Size: 148, Average Time: 418.95304695304696, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1115
ue_simple--[2024-04-10 05:33:37.955082] , Network: grid_10, Trip Size: 148, Average Time: 448.7982017982018, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1100
so_simple--[2024-04-10 05:37:19.407127] , Network: grid_10, Trip Size: 149, Average Time: 453.4965034965035, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1180
ue_simple--[2024-04-10 05:40:42.407844] , Network: grid_10, Trip Size: 149, Average Time: 481.26473526473524, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1240


so_dynamic--[2024-04-13 13:20:52.169874] , Network: rand_20, Trip Size: 500, Average Time: 333.57, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1052
so_simple--[2024-04-13 13:22:08.540012] , Network: rand_20, Trip Size: 500, Average Time: 327.646, Increase factor: 1.025, Congestion T: 3, Maxspeed: 15.0, sim_time: 1010
so_simple--[2024-04-13 13:23:33.316799] , Network: rand_20, Trip Size: 500, Average Time: 327.646, Increase factor: 1.025, Congestion T: 3, Maxspeed: 15.0, sim_time: 1010
so_dynamic--[2024-04-13 13:33:57.357119] , Network: rand_20, Trip Size: 500, Average Time: 333.57, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1052
so_dynamic--[2024-04-13 13:37:22.083704] , Network: rand_20, Trip Size: 500, Average Time: 266.062, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 770
so_dynamic--[2024-04-13 13:39:55.875204] , Network: rand_20, Trip Size: 500, Average Time: 266.062, Increase factor: 1.01, Proportion: 0.5, Maxspeed: 15.0, sim_time: 770
