so_simple--[2024-03-27 14:24:57.506115] , Network: rand_20, Trip Size: 1029, Average Time: 275.606, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1591
ue_simple--[2024-03-27 14:25:55.076422] , Network: rand_20, Trip Size: 1029, Average Time: 311.499, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1680
so_simple--[2024-03-27 14:27:00.668447] , Network: rand_20, Trip Size: 1030, Average Time: 269.488, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1548
ue_simple--[2024-03-27 14:27:57.215887] , Network: rand_20, Trip Size: 1030, Average Time: 314.518, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1651
so_simple--[2024-03-27 14:29:09.002297] , Network: rand_20, Trip Size: 1031, Average Time: 298.69, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1572
ue_simple--[2024-03-27 14:30:05.435522] , Network: rand_20, Trip Size: 1031, Average Time: 307.865, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1642
so_simple--[2024-03-27 14:31:17.491023] , Network: rand_20, Trip Size: 1032, Average Time: 303.593, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1605
ue_simple--[2024-03-27 14:32:14.635943] , Network: rand_20, Trip Size: 1032, Average Time: 317.403, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1680
so_simple--[2024-03-27 14:33:26.860228] , Network: rand_20, Trip Size: 1033, Average Time: 302.252, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1648
ue_simple--[2024-03-27 14:34:32.955941] , Network: rand_20, Trip Size: 1033, Average Time: 312.58, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1775
so_simple--[2024-03-27 14:35:43.682105] , Network: rand_20, Trip Size: 1034, Average Time: 284.478, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1600
