
so_simple--[2024-04-08 15:20:23.675021] , Network: rand_20, Trip Size: 2036, Average Time: 175.96, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2399
ue_simple--[2024-04-08 15:21:11.309496] , Network: rand_20, Trip Size: 2036, Average Time: 176.083, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2308
so_simple--[2024-04-08 15:22:08.378471] , Network: rand_20, Trip Size: 2037, Average Time: 168.265, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2353
ue_simple--[2024-04-08 15:22:55.451432] , Network: rand_20, Trip Size: 2037, Average Time: 171.879, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2356
so_simple--[2024-04-08 15:23:54.504915] , Network: rand_20, Trip Size: 2038, Average Time: 177.624, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2398
ue_simple--[2024-04-08 15:24:43.480644] , Network: rand_20, Trip Size: 2038, Average Time: 183.299, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2312
so_simple--[2024-04-08 15:25:42.750046] , Network: rand_20, Trip Size: 2039, Average Time: 176.149, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2361
ue_simple--[2024-04-08 15:26:29.722852] , Network: rand_20, Trip Size: 2039, Average Time: 181.78, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2303
so_simple--[2024-04-08 15:27:28.099198] , Network: rand_20, Trip Size: 2040, Average Time: 173.781, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2397
ue_simple--[2024-04-08 15:28:14.836355] , Network: rand_20, Trip Size: 2040, Average Time: 177.398, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2317
so_simple--[2024-04-08 15:29:14.197186] , Network: rand_20, Trip Size: 2041, Average Time: 176.64, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2359
ue_simple--[2024-04-08 15:30:00.594722] , Network: rand_20, Trip Size: 2041, Average Time: 179.994, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2293
so_simple--[2024-04-08 15:30:58.142177] , Network: rand_20, Trip Size: 2042, Average Time: 175.586, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2363
ue_simple--[2024-04-08 15:31:47.007636] , Network: rand_20, Trip Size: 2042, Average Time: 182.398, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2445
so_simple--[2024-04-08 15:32:45.326737] , Network: rand_20, Trip Size: 2043, Average Time: 171.269, Increase factor: 1.035, Congestion T: 3, Maxspeed: 15.0, sim_time: 2315
ue_simple--[2024-04-08 15:33:33.300513] , Network: rand_20, Trip Size: 2043, Average Time: 185.309, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 2288
