ue_simple--[2024-03-28 10:03:49.168486] , Network: net_001, Trip Size: 2027, Average Time: 534.341, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1531
so_simple--[2024-03-28 10:12:44.731728] , Network: net_001, Trip Size: 2028, Average Time: 510.6705, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1490
ue_simple--[2024-03-28 10:20:08.187785] , Network: net_001, Trip Size: 2028, Average Time: 528.2915, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1579
so_simple--[2024-03-28 10:28:10.128104] , Network: net_001, Trip Size: 2029, Average Time: 491.5985, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1484
ue_simple--[2024-03-28 10:34:58.241399] , Network: net_001, Trip Size: 2029, Average Time: 526.908, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1517
so_simple--[2024-03-28 11:09:22.157360] , Network: net_001, Trip Size: 2030, Average Time: 524.7225, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1523
ue_simple--[2024-03-28 11:16:51.741612] , Network: net_001, Trip Size: 2030, Average Time: 529.421, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1469
so_simple--[2024-03-28 11:30:13.525196] , Network: net_001, Trip Size: 2031, Average Time: 534.403, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1661
ue_simple--[2024-03-28 11:37:21.435660] , Network: net_001, Trip Size: 2031, Average Time: 539.2645, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1536
so_simple--[2024-03-28 11:45:01.979377] , Network: net_001, Trip Size: 2032, Average Time: 481.936, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1446
ue_simple--[2024-03-28 11:52:07.637225] , Network: net_001, Trip Size: 2032, Average Time: 546.2935, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1530
so_simple--[2024-03-28 12:00:08.616413] , Network: net_001, Trip Size: 2033, Average Time: 487.373, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1508
ue_simple--[2024-03-28 12:06:58.394182] , Network: net_001, Trip Size: 2033, Average Time: 521.8005, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1485
so_simple--[2024-03-28 12:14:48.601611] , Network: net_001, Trip Size: 2034, Average Time: 494.9205, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1503
ue_simple--[2024-03-28 12:21:51.008818] , Network: net_001, Trip Size: 2034, Average Time: 524.9325, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1555
so_simple--[2024-03-28 12:29:50.759356] , Network: net_001, Trip Size: 2035, Average Time: 485.3745, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1518
