system_optimum--[2024-04-05 16:17:53.896448] , Network: grid_10, Trip Size: 279, Average Time: 409.108, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1183
user_equilibrium--[2024-04-05 16:21:28.272077] , Network: grid_10, Trip Size: 279, Average Time: 416.511, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1226
system_optimum--[2024-04-05 16:25:37.804235] , Network: grid_10, Trip Size: 280, Average Time: 435.376, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1270
user_equilibrium--[2024-04-05 16:29:17.113404] , Network: grid_10, Trip Size: 280, Average Time: 439.936, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1271
system_optimum--[2024-04-05 16:33:03.009827] , Network: grid_10, Trip Size: 281, Average Time: 411.892, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1138
user_equilibrium--[2024-04-05 16:36:44.777737] , Network: grid_10, Trip Size: 281, Average Time: 422.284, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1226
system_optimum--[2024-04-05 16:40:50.625585] , Network: grid_10, Trip Size: 282, Average Time: 409.771, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1150
user_equilibrium--[2024-04-05 16:44:32.301801] , Network: grid_10, Trip Size: 282, Average Time: 440.724, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1242
system_optimum--[2024-04-05 16:48:47.971729] , Network: grid_10, Trip Size: 283, Average Time: 438.911, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1270
user_equilibrium--[2024-04-05 16:52:12.860610] , Network: grid_10, Trip Size: 283, Average Time: 440.934, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1189
system_optimum--[2024-04-05 16:55:54.570525] , Network: grid_10, Trip Size: 284, Average Time: 412.99, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1189
user_equilibrium--[2024-04-05 16:59:18.298503] , Network: grid_10, Trip Size: 284, Average Time: 428.571, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1182
system_optimum--[2024-04-05 17:03:16.792689] , Network: grid_10, Trip Size: 285, Average Time: 421.61, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1257
user_equilibrium--[2024-04-05 17:06:43.655168] , Network: grid_10, Trip Size: 285, Average Time: 428.96, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1180
system_optimum--[2024-04-05 17:15:36.005878] , Network: grid_10, Trip Size: 286, Average Time: 435.753, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1137
user_equilibrium--[2024-04-05 17:19:12.875797] , Network: grid_10, Trip Size: 286, Average Time: 425.414, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1225
system_optimum--[2024-04-05 17:22:50.632133] , Network: grid_10, Trip Size: 287, Average Time: 393.465, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1137
user_equilibrium--[2024-04-05 17:26:09.355928] , Network: grid_10, Trip Size: 287, Average Time: 417.329, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1226
system_optimum--[2024-04-05 17:29:54.483652] , Network: grid_10, Trip Size: 288, Average Time: 413.586, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1182
user_equilibrium--[2024-04-05 17:33:20.494933] , Network: grid_10, Trip Size: 288, Average Time: 438.308, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1234
system_optimum--[2024-04-05 17:36:55.231057] , Network: grid_10, Trip Size: 289, Average Time: 420.181, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1136
user_equilibrium--[2024-04-05 17:40:19.932267] , Network: grid_10, Trip Size: 289, Average Time: 450.041, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1192
system_optimum--[2024-04-05 17:44:25.375908] , Network: grid_10, Trip Size: 290, Average Time: 412.684, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1226
user_equilibrium--[2024-04-05 17:52:04.341751] , Network: grid_10, Trip Size: 290, Average Time: 428.384, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1270
system_optimum--[2024-04-05 17:59:01.752298] , Network: grid_10, Trip Size: 291, Average Time: 422.935, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1156
user_equilibrium--[2024-04-05 18:11:47.209615] , Network: grid_10, Trip Size: 291, Average Time: 442.631, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1271
system_optimum--[2024-04-05 18:27:10.980115] , Network: grid_10, Trip Size: 292, Average Time: 427.495, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1194
user_equilibrium--[2024-04-05 18:45:11.858233] , Network: grid_10, Trip Size: 292, Average Time: 459.267, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1260
system_optimum--[2024-04-05 18:57:29.292582] , Network: grid_10, Trip Size: 293, Average Time: 409.878, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1147
user_equilibrium--[2024-04-05 19:01:48.783581] , Network: grid_10, Trip Size: 293, Average Time: 427.408, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1205
system_optimum--[2024-04-05 19:07:54.685479] , Network: grid_10, Trip Size: 294, Average Time: 412.57, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1190
user_equilibrium--[2024-04-05 19:26:35.296843] , Network: grid_10, Trip Size: 294, Average Time: 438.048, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1198
system_optimum--[2024-04-05 19:43:12.030345] , Network: grid_10, Trip Size: 295, Average Time: 422.044, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1226
user_equilibrium--[2024-04-05 20:03:47.587782] , Network: grid_10, Trip Size: 295, Average Time: 431.803, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1190
system_optimum--[2024-04-05 20:18:54.256029] , Network: grid_10, Trip Size: 296, Average Time: 424.396, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1226
user_equilibrium--[2024-04-05 20:43:51.129132] , Network: grid_10, Trip Size: 296, Average Time: 454.261, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1282
system_optimum--[2024-04-05 20:52:55.133120] , Network: grid_10, Trip Size: 297, Average Time: 427.802, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1202
user_equilibrium--[2024-04-05 21:14:50.304861] , Network: grid_10, Trip Size: 297, Average Time: 430.916, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1180
system_optimum--[2024-04-05 21:18:55.295039] , Network: grid_10, Trip Size: 298, Average Time: 416.944, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1192
user_equilibrium--[2024-04-05 21:24:07.945346] , Network: grid_10, Trip Size: 298, Average Time: 440.859, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1181
system_optimum--[2024-04-05 21:30:30.641632] , Network: grid_10, Trip Size: 299, Average Time: 444.457, Increase factor: 1.01, Congestion T: 3, Maxspeed: 15.0, sim_time: 1236
user_equilibrium--[2024-04-05 21:35:22.103516] , Network: grid_10, Trip Size: 299, Average Time: 431.504, Algo: cr, Congestion T: 3, Maxspeed: 15.0, sim_time: 1226
